Date,Day,Cases_Guinea,Deaths_Guinea
1/5/2015,289,2776.0,1786.0
1/4/2015,288,2775.0,1781.0
1/3/2015,287,2769.0,1767.0
12/31/2014,284,2730.0,1739.0
12/28/2014,281,2706.0,1708.0
12/27/2014,280,2695.0,1697.0
12/24/2014,277,2630.0,0.0
12/21/2014,273,2597.0,1607.0
12/20/2014,272,2571.0,1586.0
12/14/2014,267,2416.0,1525.0
12/7/2014,260,2292.0,1428.0
11/30/2014,253,2164.0,1327.0
11/23/2014,246,2134.0,1260.0
11/18/2014,241,2047.0,1214.0
11/16/2014,239,1971.0,1192.0
11/11/2014,234,1919.0,1166.0
11/9/2014,232,1878.0,1142.0
11/3/2014,226,1760.0,1054.0
11/2/2014,225,1731.0,1041.0
10/29/2014,220,1667.0,1018.0
10/27/2014,218,1906.0,997.0
10/21/2014,213,1553.0,926.0
10/19/2014,211,1540.0,904.0
10/14/2014,206,1519.0,862.0
10/12/2014,204,1472.0,843.0
10/7/2014,199,1350.0,778.0
10/5/2014,197,1298.0,768.0
10/1/2014,193,1199.0,739.0
9/28/2014,190,1157.0,710.0
9/23/2014,185,1074.0,648.0
9/21/2014,183,1022.0,635.0
9/19/2014,181,1008.0,632.0
9/14/2014,176,942.0,601.0
9/13/2014,175,936.0,595.0
9/10/2014,172,899.0,568.0
9/7/2014,169,861.0,557.0
9/5/2014,167,812.0,517.0
8/31/2014,162,771.0,494.0
8/26/2014,157,648.0,430.0
8/20/2014,151,607.0,406.0
8/18/2014,149,579.0,396.0
8/16/2014,147,543.0,394.0
8/13/2014,144,519.0,380.0
8/11/2014,142,510.0,377.0
8/9/2014,140,506.0,373.0
8/6/2014,137,495.0,367.0
8/4/2014,135,495.0,363.0
8/1/2014,132,485.0,358.0
7/30/2014,129,472.0,346.0
7/27/2014,126,460.0,339.0
7/23/2014,123,427.0,319.0
7/20/2014,120,415.0,314.0
7/17/2014,117,410.0,310.0
7/14/2014,114,411.0,310.0
7/12/2014,112,406.0,304.0
7/8/2014,108,409.0,309.0
7/6/2014,106,408.0,307.0
7/2/2014,102,412.0,305.0
6/30/2014,100,413.0,303.0
6/20/2014,90,390.0,270.0
6/18/2014,88,390.0,267.0
6/16/2014,86,398.0,264.0
6/10/2014,80,351.0,226.0
6/3/2014,73,344.0,215.0
6/1/2014,71,328.0,208.0
5/28/2014,67,291.0,193.0
5/27/2014,66,281.0,186.0
5/23/2014,62,258.0,174.0
5/12/2014,51,248.0,171.0
5/10/2014,49,233.0,157.0
5/7/2014,46,236.0,158.0
5/5/2014,44,235.0,157.0
5/3/2014,42,231.0,155.0
5/1/2014,40,226.0,149.0
4/26/2014,35,224.0,143.0
4/23/2014,32,218.0,141.0
4/20/2014,29,208.0,136.0
4/17/2014,26,203.0,129.0
4/16/2014,25,197.0,122.0
4/14/2014,23,168.0,108.0
4/11/2014,20,159.0,106.0
4/9/2014,18,158.0,101.0
4/7/2014,16,151.0,95.0
4/4/2014,13,143.0,86.0
4/1/2014,10,127.0,83.0
3/31/2014,9,122.0,80.0
3/29/2014,7,112.0,70.0
3/28/2014,6,112.0,70.0
3/27/2014,5,103.0,66.0
3/26/2014,4,86.0,62.0
3/25/2014,3,86.0,60.0
3/24/2014,2,86.0,59.0
3/22/2014,0,49.0,29.0
